Main Port Name,Country Code,Latitude,Longitude
Port Lavaca,United States,28.616667,-96.616667
The Dalles,United States,45.6,-121.183333
Trenton,United States,42.133333,-83.166667
Seward,United States,60.1,-149.433333
Washington Bay,United States,56.733333,-134.35
Raymond,United States,46.683333,-123.733333
Unalaska,United States,53.866667,-166.533333
Presque Isle,United States,46.566667,-87.38333299999998
Plymouth,United States,41.95,-70.666667
Wrangell,United States,56.466667,-132.383333
Waldport,United States,44.433333,-124.066667
Winchester Bay,United States,43.683333,-124.183333
Wainwright,United States,70.65,-160.0
Tonawanda,United States,43.033333,-78.88333299999998
Shepard Point,United States,60.633333,-145.666667
Trap Point,United States,57.0,-154.15
Port Obrien,United States,57.733333,-153.316667
Winslow,United States,47.616667,-122.516667
Port Wing,United States,46.783333,-91.383333
Pelican,United States,57.966667,-136.233333
Roche  Harbor,United States,48.616667,-123.166667
Westhaven Cove,United States,46.916667,-124.116667
Racine,United States,42.733333,-87.783333
Washburn,United States,46.666667,-90.883333
Sandusky,United States,41.45,-82.716667
Rogers City,United States,45.45,-83.81666699999998
Sitka,United States,57.05,-135.333333
Richmond,United States,37.533333,-77.416667
Port Huron,United States,43.0,-82.433333
Seattle,United States,47.6,-122.333333
Tawas City,United States,44.266667,-83.5
Seldovia,United States,59.433333,-151.733333
Quincy,United States,42.25,-70.966667
Provincetown,United States,42.05,-70.183333
Saugatuck,United States,42.666667,-86.2
Palacios,United States,28.683333,-96.216667
Two Harbors,United States,47.016667,-91.65
Willapa Harbor,United States,46.683333,-123.75
Orca,United States,60.583333,-145.716667
Port Clinton,United States,41.516667,-82.933333
Tenakee Springs,United States,57.783333,-135.2
Port Orford,United States,42.733333,-124.5
Rockport,United States,42.666667,-70.616667
Quartermaster Harbor,United States,47.383333,-122.466667
Village Cove,United States,57.133333,-170.266667
Vineyard Haven,United States,41.45,-70.6
Sheboygan,United States,43.75,-87.7
Tacoma,United States,47.283333,-122.416667
Richardson,United States,48.45,-122.9
Prosper,United States,43.15,-124.366667
Vermilion,United States,41.433333,-82.366667
Westport,United States,46.133333,-123.383333
Port Townsend,United States,48.116667,-122.75
Solomon,United States,64.55,-164.4
Warrenton,United States,46.166667,-123.916667
Oscoda,United States,44.416667,-83.31666699999998
Waterfall,United States,55.3,-133.233333
Waukegan,United States,42.366667,-87.81666699999998
Saginaw,United States,43.433333,-83.933333
St Joseph,United States,42.116667,-86.483333
Sanak,United States,54.483333,-162.816667
Silverdale,United States,47.65,-122.7
Platinum,United States,59.016667,-161.833333
Wyman,United States,44.516667,-67.866667
Uyak,United States,57.633333,-154.0
Tongue Point,United States,46.2,-123.75
Port Graham,United States,59.35,-151.816667
Steamboat Bay,United States,55.533333,-133.633333
South Bend,United States,46.666667,-123.783333
St. Michael,United States,63.483333,-162.033333
Sault Ste Marie,United States,46.5,-84.34999999999998
San Juan Cannery,United States,60.05,-148.066667
Woods Hole,United States,41.516667,-70.666667
Womens Bay,United States,57.716667,-152.516667
Southwest Pass,United States,28.45,-90.7
Port Vita,United States,58.066667,-153.066667
Port Gamble,United States,47.85,-122.583333
Sekiu,United States,48.266667,-124.3
St Clair,United States,42.816667,-82.483333
Prudhoe Bay,United States,70.333333,-148.416667
Reedsport,United States,43.7,-124.1
Rainier,United States,46.083333,-122.933333
Palisades Point,United States,52.233333,-174.166667
Portland,United States,45.516667,-122.666667
Wyandotte,United States,42.2,-83.15
South Haven,United States,42.4,-86.283333
Port Washington,United States,43.383333,-87.866667
Yes Bay,United States,55.916667,-131.8
Skagway,United States,59.45,-135.333333
Superior,United States,46.733333,-92.066667
Petersburg,United States,56.816667,-132.95
Sackets Harbor,United States,43.95,-76.116667
Rochester,United States,43.266667,-77.59999999999998
Port Hope,United States,43.95,-82.7
Sand Point,United States,55.333333,-160.533333
White Lake,United States,43.383333,-86.34999999999998
Point Wells,United States,47.783333,-122.4
Plymouth,United States,35.866667,-76.75
Port Of Memphis,United States,35.066667,-90.166667
Valdez,United States,61.116667,-146.25
Port William,United States,58.483333,-152.583333
Poulsbo,United States,47.733333,-122.65
Put In Bay,United States,41.65,-82.81666699999998
Port Moller,United States,55.983333,-160.566667
St Helens,United States,45.866667,-122.8
Snug Harbor,United States,60.1,-152.583333
Two Rivers,United States,44.15,-87.56666699999998
Ouzinkie,United States,57.916667,-152.5
Youngstown,United States,43.25,-79.04999999999998
Sodus Bay,United States,43.266667,-76.983333
Tanani Point,United States,59.283333,-135.45
Washington Harbor,United States,47.916667,-89.15
Valdez Marine Terminal,United States,61.083333,-146.4
Stonington,United States,41.333333,-71.9
Washougal,United States,45.583333,-122.35
Tri-City Port,United States,38.716667,-90.2
Orcas,United States,48.6,-122.933333
Port Allen,United States,21.9,-159.583333
Wilmette,United States,42.083333,-87.683333
Samoa,United States,40.816667,-124.183333
Trenton,United States,40.2,-74.766667
Whittier,United States,60.778333333,-148.694444444
Warwick,United States,37.45,-77.416667
Quonset Point,United States,41.583333,-71.4
Tern Island,United States,23.866667,-166.283333
Shelton,United States,47.216667,-123.1
Semiahmoo,United States,48.983333,-122.766667
Pukoo,United States,21.066667,-156.8
Patchogue,United States,40.75,-73.016667
Cleveland,United States,41.5,-81.716667
Toledo,United States,41.7,-83.466667
Monroe,United States,41.883333,-83.33333299999998
Toledo,United States,44.616667,-123.933333
Excursion Inlet,United States,58.416667,-135.45
Haines,United States,59.233333,-135.433333
Juneau,United States,58.3,-134.416667
Funter,United States,58.25,-134.9
Hawk Inlet,United States,58.116667,-134.75
Chatham,United States,57.516667,-134.933333
Hoonah,United States,58.116667,-135.45
Hydaburg,United States,55.2,-132.833333
Kasaan,United States,55.533333,-132.4
Metlakatla,United States,55.133333,-131.566667
Kake,United States,56.966667,-133.933333
Dupont,United States,58.233333,-134.266667
Ketchikan,United States,55.333333,-131.65
Elfin Cove,United States,58.2,-136.35
Loring,United States,55.6,-131.633333
Big Port Walter,United States,56.383333,-134.733333
Little Port Walter,United States,56.383333,-134.633333
